agent_name,agent_notified,agent_responded,grand_total
Andrew Wilson,10,26,36
Leon Griffin,6,22,28
Ernest Porter,3,99,102
Carl Coleman,8,28,36
Kevin Harris,3,22,25
Bradley Gray,3,43,46
Dale Dixon,0,1,1
Henry Simmons,20,73,93
Dennis Wood,1,1,2
Aaron Walker,1,1,2
Gabriel Green,29,74,103
Jordan Adams,4,16,20
Albert Perry,32,27,59
Harold Fisher,60,79,139
Colin Ramirez,37,72,109
Garrett Howard,44,20,64
Philip Washington,10,24,34
Leonard Hughes,81,64,145
Christopher Lee,2,3,5
Howard Griffin,2,1,3
Marcus Rivera,22,28,50
Luke Wright,104,55,159
Samuel Bennett,56,59,115
Peter Ross,0,1,1
Milton Stone,88,103,191
Sean Parker,3,10,13
Bernard Mason,28,1,29
Hunter Carter,9,2,11
Preston Murphy,163,132,295
Floyd Gibson,4,30,34
Blake Edwards,17,8,25
Jerome Bryant,1,0,1
Russell Hughes,9,26,35
Owen Collins,4,93,97
Warren Hicks,72,68,140
Curtis Stevens,0,1,1
Nathan Young,5,5,10
Vincent Evans,94,66,160
Raymond Watson,9,79,88
Gilbert Carr,126,53,179
Keith Myers,6,18,24
Chase Cox,1,12,13
Martin Hayes,0,1,1
Brian Clark,32,98,130
Gordon Kennedy,9,0,9
Eugene Long,3,0,3
Matthew Davis,21,8,29
Derek Allen,46,43,89
Spencer Reed,6,21,27
Adrian Phillips,15,77,92
Joshua Garcia,48,6,54
Douglas Butler,6,10,16
Marcus Torres,89,94,183
Thomas Brooks,61,88,149
Brandon Miller,0,3,3
Travis Morgan,5,9,14
Lester Harper,2,1,3
Clifford Flynn,3,47,50
Maurice West,11,6,17
Steven Rodriguez,3,4,7
Frederick Price,7,4,11
Justin Lewis,3,7,10
James Mitchell,21,17,38
Melvin Lowe,67,0,67
Vernon Fuller,0,4,4
Shane Ward,14,69,83
Leroy Wade,10,20,30
Grant Cooper,2,0,2
Randall Beck,28,70,98
Victor Webb,2,8,10
Francis Barnes,27,8,35
Marcus King,8,11,19
Arthur Jenkins,0,1,1
Claude Chapman,7,29,36
Harry Flores,20,61,81
Kenneth Brooks,4,1,5
Isaac Scott,59,79,138
Hugo Walton,42,67,109
Julius Delgado,51,59,110
William Foster,0,2,2
Wesley Richardson,43,22,65
Ryan Peterson,13,54,67
Louis Henderson,20,78,98
Gregory Diaz,31,33,64
Tyler Moore,4,4,8
Oscar Newman,6,6,12
Ethan Hill,1,11,12
Austin Baker,6,11,17
Caleb Mitchell,5,3,8
Edwin Sanders,1,5,6
Jacob Taylor,60,68,128
Walter Foster,8,44,52
Andrew Wilson,0,2,2
Carl Coleman,6,1,7
Bradley Gray,26,87,113
Dale Dixon,11,120,131
Henry Simmons,8,16,24
Dennis Wood,80,64,144
Aaron Walker,22,18,40
Gabriel Green,6,4,10
Leo Russell,1,0,1
Jordan Adams,20,43,63
Malcolm James,50,134,184
Albert Perry,67,36,103
Marvin Cortez,3,3,6
Harold Fisher,23,199,222
Colin Ramirez,1,1,2
Garrett Howard,16,16,32
Philip Washington,44,153,197
Leonard Hughes,2,0,2
Robert Chen,0,57,57
Howard Griffin,3,19,22
Luke Wright,2,2,4
Craig Hunt,26,50,76
Peter Ross,18,22,40
Milton Stone,12,90,102
Sean Parker,21,62,83
Bernard Mason,22,11,33
Preston Murphy,10,3,13
Ian Campbell,13,82,95
Floyd Gibson,5,3,8
Blake Edwards,2,5,7
Jerome Bryant,7,1,8
Dustin Peterson,35,43,78
Warren Hicks,2,2,4
Kyle Hall,1,15,16
Samuel Bennett,49,18,67
Jared Bailey,14,37,51
Curtis Stevens,89,591,680
Vincent Evans,2,1,3
Raymond Watson,1,1,2
Gilbert Carr,1,0,1
Keith Myers,1,10,11
Chase Cox,139,23,162
Allan Santiago,11,19,30
Martin Hayes,1,2,3
Edgar Hart,2,2,4
Brian Clark,49,57,106
Seth Bell,122,21,143
Roy Powell,0,30,30
Gordon Kennedy,25,81,106
Derek Allen,0,1,1
Spencer Reed,5,1,6
Adrian Phillips,2,13,15
Douglas Butler,10,6,16
Marcus Torres,4,26,30
Thomas Brooks,38,47,85
Trevor Morris,1,1,2
Travis Morgan,1,27,28
Lester Harper,13,1,14
Clifford Flynn,8,16,24
Maurice West,2,17,19
Steven Rodriguez,3,12,15
Frederick Price,5,5,10
Carson Stewart,633,13,646
Justin Lewis,39,11,50
Melvin Lowe,55,76,131
